Wie würde man in der Schweizer Volkskunde den Freund von Heidi auf Spanisch nennen?,attribute_1
Pedro (Peter),ESN Frankfurt (Oder)
Juan-Ulrich (Hansueli),ESN Siegen
Pedro (Peter),ESN Saarbrücken
Pedro (Peter),ESN Potsdam
Pedro (Peter),ESN Augsburg
Pedro (Peter),ESN Darmstadt
Pedro (Peter),ESN Heidelberg
Pedro (Peter),ESN Frankfurt am Main
Pedro (Peter),ESN Hildesheim
Juan (Hans),ESN TU Dresden
Pedro (Peter),ESN LEI STEP Kaiserslautern
Pedro (Peter),ESN Stuttgart
José (Sepp),ESN Halle (Saale)
Pedro (Peter),ESN Düsseldorf
Pedro (Peter),ESN Kiel
Pedro (Peter),ESN Bonn 
Pedro (Peter),ESN Freiburg
José (Sepp),ESN Göttingen
Juan-Ulrich (Hansueli),ESN Köln
Pedro (Peter),ESN Konstanz
Juan (Hans), ESN TUMi München
Juan (Hans),ESN AKI Deggendorf
Pedro (Peter),ESN Bochum
Pedro (Peter),ESN Hamburg
José (Sepp),ESN Karlsruhe
Pedro (Peter),ESN LEI Greifswald
Pedro (Peter),ESN Jena
José (Sepp),ESN HTW Dresden
José (Sepp),ESN Erasmix Medizin Berlin
Pedro (Peter),ESN MESA München
Juan-Ulrich (Hansueli),ESN Braunschweig
Pedro (Peter),ESN LEI Rostock
Pedro (Peter),ESN IPAS Landau
Juan (Hans),ESN Bayreuth
Pedro (Peter), ESN Ingolstadt
Pedro (Peter),ESN VISUM Mannheim
Pedro (Peter),ESN Hannover
Pedro (Peter),ESN Dortmund
