"Wählt ihr Theo Whitwill (ESN FHNW, Schweiz) als Versammlungsleiter für diese Mitgliederversammlung?","Wählt ihr Božo Tadić (ESN Osijek, Kroatien) als stellvertretenden Versammlungsleiter für diese Mitgliederversammlung?","Wählt ihr Bastian Latsch (ESN Darmstadt) als Wahlhelfer für diese Mitgliederversammlung?","Wählt ihr Viktoria Schwarz (ESN Freiburg) als Wahlhelferin für diese Mitgliederversammlung?","Genehmigt ihr das Protokoll der “oN Air Vol. 2”?","Stimmt ihr der Agenda dieser Mitgliederversammlung zu?","Wählt ihr Tanyel Arabaci (ESN Siegen) als Ombudsperson für diese Mitgliederversammlung?","Wählt ihr Hannah Potthoff (ESN Potsdam) als Ombudsperson für diese Mitgliederversammlung?","attribute_1"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Kiel"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN VISUM Mannheim"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Bonn "
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Düsseldorf"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN MESA München"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Bochum"
"Ja","","Ja","Ja","Ja","Ja","Ja","Ja","ESN Saarbrücken"
"Ja","Ja","Ja","Ja","Ja","Ja","Nein","Ja","ESN AKI Deggendorf"
"Ja","Ja","Ja","Ja","Enthaltung","Ja","Ja","Ja","ESN Potsdam"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","","ESN Dortmund"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN LEI Greifswald"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Braunschweig"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Freiburg"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Konstanz"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Hildesheim"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Augsburg"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja"," ESN Ingolstadt"
"Ja","Ja","Ja","Ja","Enthaltung","Ja","Ja","Ja","ESN Halle (Saale)"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Karlsruhe"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Hamburg"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Heidelberg"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN IPAS Landau"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN LEI Rostock"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja"," ESN TUMi München"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Darmstadt"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Frankfurt (Oder)"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Bayreuth"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Stuttgart"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Göttingen"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Frankfurt am Main"
"Ja","Ja","Ja","","Enthaltung","Enthaltung","Ja","Ja","ESN Erasmix Medizin Berlin"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN HTW Dresden"
"Ja","","Ja","Ja","Ja","Ja","Ja","Ja","ESN Köln"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN TU Dresden"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Hannover"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Jena"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN Siegen"
"Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","ESN LEI STEP Kaiserslautern"

