"Stimmt ihr dem Antrag von ESN Bonn zu, die Abstimmung über das Proposal ""Calculation of the Membership Fee"" geheim abzuhalten?","Stimmt ihr der Änderung der Tagesordnung durch den Antrag von ESN Freiburg zu den Cash Audit Report an den Beginn der Agenda zu verschieben?","Stimmt ihr der Änderung der Tagesordnung durch den Änderungsantrag zum Proposal ""Calculation of the Membership Fee"" durch ESN Bayreuth, ESN LEI Greifswald, ESN Jena, ESN TU Dresden &amp; ESN Tumi München zu?","Sektion"
"Ja","Enthaltung","Ja","ESN Bonn "
"Ja","Ja","Ja","ESN Darmstadt"
"Ja","Ja","Ja","ESN Koblenz"
"Enthaltung","Ja","Ja","ESN HTW Dresden"
"Enthaltung","Enthaltung","Ja","ESN Witten/Herdecke"
"Ja","Ja","Ja","ESN Hildesheim"
"Nein","Ja","Enthaltung","ESN Göttingen"
"Ja","Ja","Ja","ESN IPAS Landau"
"Enthaltung","Ja","Ja"," ESN TUMi München"
"Enthaltung","Ja","Ja","ESN Heidelberg"
"Ja","Enthaltung","Ja","ESN Dortmund"
"Enthaltung","Enthaltung","Ja","ESN Augsburg"
"Ja","Ja","Ja","ESN Siegen"
"Ja","Ja","Ja","ESN Halle (Saale)"
"Ja","Nein","Ja","ESN AKI Deggendorf"
"Ja","Ja","Enthaltung"," ESN Ingolstadt"
"Nein","Ja","Ja","ESN Saarbrücken"
"Ja","Ja","Ja","ESN Hamburg"
"Enthaltung","Ja","Ja","ESN Stuttgart"
"Enthaltung","Ja","Ja","ESN VISUM Mannheim"
"Ja","Ja","Ja","ESN Frankfurt (Oder)"
"Ja","Nein","Ja","ESN LEI Greifswald"
"Ja","Ja","Ja","ESN TU Dresden"
"Ja","Ja","Ja","ESN Kiel"
"Ja","Ja","Ja","ESN LEI Rostock"
"Enthaltung","Ja","Ja","ESN Bochum"
"Nein","Ja","Ja","ESN Düsseldorf"
"Ja","Ja","Ja","ESN Bayreuth"
"Nein","Ja","Ja","ESN Hannover"
"Nein","Ja","Ja","ESN Jena"
"Ja","Ja","Ja","ESN MESA München"
"Ja","Ja","Ja","ESN Erasmix Medizin Berlin"
"Ja","Ja","Nein","ESN Freiburg"
"Ja","Ja","Ja","ESN LEI STEP Kaiserslautern"
"Ja","Enthaltung","Ja","ESN Frankfurt am Main"
"Ja","Ja","Ja","ESN Potsdam"
"Ja","Ja","Ja","ESN Braunschweig"

