"Stimmt ihr zu den Änderungsantrag zum Proposal ""Calculation of the Membership Fee"" dem eigentlichen Proposal hinzuzufügen?","Sektion"
"Ja","ESN Siegen"
"Ja","ESN Stuttgart"
"Nein","ESN Hildesheim"
"Ja","ESN Potsdam"
"Ja","ESN Köln"
"Ja","ESN Heidelberg"
"Enthaltung","ESN Kiel"
"Ja","ESN Frankfurt am Main"
"Ja","ESN AKI Deggendorf"
"Ja","ESN Koblenz"
"Nein","ESN Freiburg"
"Ja","ESN Saarbrücken"
"Ja","ESN VISUM Mannheim"
"Nein","ESN Augsburg"
"Ja","ESN Frankfurt (Oder)"
"Ja","ESN Düsseldorf"
"Ja","ESN Jena"
"Ja","ESN Darmstadt"
"Ja","ESN Witten/Herdecke"
"Ja"," ESN TUMi München"
"Ja","ESN Bonn "
"Ja","ESN Bochum"
"Ja","ESN Halle (Saale)"
"Ja","ESN LEI Greifswald"
"Ja","ESN Bayreuth"
"Ja","ESN MESA München"
"Ja","ESN Konstanz"
"Ja","ESN HTW Dresden"
"Enthaltung","ESN Hannover"
"Enthaltung","ESN Göttingen"
"Ja","ESN LEI Rostock"
"Ja","ESN Braunschweig"
"Ja","ESN Dortmund"
"Ja","ESN IPAS Landau"
"Ja"," ESN Ingolstadt"
"Ja","ESN TU Dresden"
"Nein","ESN LEI STEP Kaiserslautern"
"Ja","ESN Erasmix Medizin Berlin"
"Ja","ESN Hamburg"

