"In der Quarantäne habe ich … bekommen.","Section"
"Alle der genannten","ESN Braunschweig"
"Alle der genannten","ESN Augsburg"
"20 Kilo extra","ESN Heidelberg"
"20 Kilo extra","ESN Hildesheim"
"Langeweile","ESN Erasmix Medizin Berlin"
"Langeweile","ESN Halle (Saale)"
"Langeweile","ESN IPAS Landau"
"20 Kilo extra","ESN Bayreuth"
"Alle der genannten","ESN Hamburg"
"20 Kilo extra","ESN LEI Greifswald"
"Langeweile","ESN Siegen"
"Langeweile","ESN TUMi München "
"Langeweile","ESN Freiburg"
"Langeweile","ESN MESA München"
"20 Kilo extra","ESN Darmstadt"
"Alle der genannten","ESN Potsdam"
"Langeweile","ESN Kiel"
"Langeweile","ESN Bonn "
"Langeweile","ESN Frankfurt (Oder)"
"Langeweile","ESN LEI STEP Kaiserslautern"
"Langeweile","ESN LEI Rostock"
"Langeweile","ESN Göttingen"
"20 Kilo extra","ESN Frankfurt am Main"
"Alle der genannten","ESN Karlsruhe"
"Langeweile","ESN TU Dresden "
"Alle der genannten","ESN Stuttgart"
"Alle der genannten","ESN VISUM Mannheim"
"20 Kilo extra","ESN Düsseldorf"

