"Wählt ihr Julius Gonsior (ESN TU Dresden) als Versammlungsleiter für diese Mitgliederversammlung?","Wählt ihr Duje Ercegović  (ESN Split, Kroatien) als stellvertretenden Versammlungsleiter für diese Mitgliederversammlung?","Wählt ihr Jana Borchardt (ESN IPAS Landau) als “Speakers List Assistant” für diese Mitgliederversammlung?","Wählt ihr Viktoria Schwarz (ESN Freiburg) als Wahlhelfer für diese Mitgliederversammlung?","Wählt ihr Bastian Latsch (ESN Darmstadt) als Wahlhelfer für diese Mitgliederversammlung?","attribute_1"
"Ja","Ja","Ja","Ja","Ja","ESN Augsburg"
"Ja","Ja","Ja","Ja","Ja","ESN Erasmix Medizin Berlin"
"Ja","Ja","Ja","Ja","Ja","ESN Bonn "
"Ja","Ja","Ja","Ja","Ja","ESN Freiburg"
"Ja","Ja","Ja","Ja","Ja","ESN Braunschweig"
"Ja","Ja","Ja","Ja","Ja","ESN Heidelberg"
"Ja","Ja","Ja","Ja","Ja","ESN Halle (Saale)"
"Ja","Ja","Ja","Ja","Ja","ESN Siegen"
"Ja","Ja","Ja","Ja","Ja","ESN MESA München"
"Ja","Ja","Ja","Ja","Ja","ESN IPAS Landau"
"Ja","Ja","Ja","Ja","Ja","ESN Karlsruhe"
"Ja","Ja","Ja","Ja","Ja","ESN Göttingen"
"Ja","Ja","Ja","Ja","Ja","ESN Düsseldorf"
"Ja","Ja","Ja","Ja","Ja","ESN Frankfurt (Oder)"
"Ja","Ja","Ja","Ja","Ja","ESN Potsdam"
"Ja","Ja","Ja","Ja","Ja","ESN LEI Rostock"
"Ja","Ja","Ja","Ja","Ja","ESN Hamburg"
"Ja","Ja","Ja","Ja","Ja","ESN TU Dresden "
"Ja","Ja","Ja","Ja","Ja","ESN TUMi München "
"Ja","Ja","Ja","Ja","Ja","ESN Hildesheim"
"Ja","Ja","Ja","Ja","Ja","ESN LEI STEP Kaiserslautern"
"Ja","Ja","Ja","Ja","Ja","ESN LEI Greifswald"
"Ja","Ja","Ja","Ja","Ja","ESN Stuttgart"
"Ja","Ja","Ja","Ja","Ja","ESN Darmstadt"
"Ja","Ja","Ja","Ja","Enthaltung","ESN Bayreuth"
"Ja","Ja","Ja","Ja","Ja","ESN Kiel"
"Ja","Ja","Ja","Ja","Ja","ESN VISUM Mannheim"
"Ja","Ja","Ja","Ja","Ja","ESN Frankfurt am Main"

