Welche Ausrede hast du während der Quarantäne genutzt?,Sektion
Ich kann nicht ins Fitnessstudio gehen - ist ja schließlich zu.,ESN Frankfurt am Main
Käsekuchen.,ESN Darmstadt
Ich kann nicht ins Fitnessstudio gehen - ist ja schließlich zu.,ESN Heidelberg
Käsekuchen.,ESN Bochum
Käsekuchen.,ESN Bonn 
Käsekuchen.,ESN Jena
Käsekuchen.,ESN TU Dresden 
An der online Vorlesung kann ich leider nicht teilnehmen - mein Internet spielt gerade (leider) nicht mit.,ESN Siegen
An der online Vorlesung kann ich leider nicht teilnehmen - mein Internet spielt gerade (leider) nicht mit.,ESN Hildesheim
An der online Vorlesung kann ich leider nicht teilnehmen - mein Internet spielt gerade (leider) nicht mit.,ESN MESA München
Ich kann nicht ins Fitnessstudio gehen - ist ja schließlich zu.,ESN LEI Greifswald
Käsekuchen.,ESN Köln
Käsekuchen.,ESN IPAS Landau
Ich kann nicht ins Fitnessstudio gehen - ist ja schließlich zu.,ESN Freiburg
An der online Vorlesung kann ich leider nicht teilnehmen - mein Internet spielt gerade (leider) nicht mit.,ESN Augsburg
Käsekuchen.,ESN Braunschweig
An der online Vorlesung kann ich leider nicht teilnehmen - mein Internet spielt gerade (leider) nicht mit.,ESN Halle (Saale)
Ich kann nicht ins Fitnessstudio gehen - ist ja schließlich zu.,ESN Karlsruhe
Käsekuchen.,ESN Düsseldorf
Ich kann nicht ins Fitnessstudio gehen - ist ja schließlich zu.,ESN Göttingen
Käsekuchen.,ESN Witten/Herdecke
Ich kann nicht ins Fitnessstudio gehen - ist ja schließlich zu.,ESN LEI STEP Kaiserslautern
Käsekuchen.,ESN Dortmund
Käsekuchen.,ESN Saarbrücken
Käsekuchen.,ESN Kiel
Käsekuchen.,ESN Hamburg
