Wählt ihr Julius Gonsior (ESN TU Dresden) als Versammlungsleiter für diese Mitgliederversammlung?,Wählt ihr Hannah Potthoff (NB) als stellvertretende Versammlungsleiterin für diese Mitgliederversammlung?,Wählt ihr Jona Winstroth & Pedro Gonzalez (NB) als Speakers List Assistants für diese Mitgliederversammlung?,Wählt ihr Bastian Latsch (ESN Darmstadt) als Wahlhelfer für diese Mitgliederversammlung?,Wählt ihr Viktoria Schwarz (ESN Freiburg) als Wahlhelfer für diese Mitgliederversammlung?,attribute_1
Ja,Ja,Ja,Ja,Ja,ESN Siegen
Ja,Ja,Ja,Ja,Ja,ESN Darmstadt
Ja,Ja,Ja,Ja,Ja,ESN LEI Greifswald
Ja,Ja,Ja,Enthaltung,Ja,ESN Witten/Herdecke
Ja,Ja,Ja,Ja,Ja,ESN Bonn 
Ja,Ja,Ja,Ja,Ja,ESN Köln
Ja,Ja,Ja,Ja,Ja,ESN Bochum
Ja,Ja,Ja,Ja,Ja,ESN MESA München
Ja,Ja,Ja,Ja,Ja,ESN Hamburg
Ja,Ja,Ja,Ja,Ja,ESN Freiburg
Ja,Ja,Ja,Ja,Ja,ESN Augsburg
Ja,Ja,Ja,Ja,Ja,ESN Frankfurt am Main
Ja,Ja,Ja,Ja,Ja,ESN Jena
Ja,Ja,Ja,Ja,Ja,ESN Braunschweig
Ja,Ja,Ja,Ja,Ja,ESN Kiel
Ja,Ja,Ja,Ja,Ja,ESN Heidelberg
Ja,Ja,Ja,Ja,Ja,ESN IPAS Landau
Ja,Ja,Ja,Ja,Ja,ESN Göttingen
Ja,Ja,Ja,Ja,Ja,ESN TU Dresden 
Ja,Ja,Ja,Ja,Ja,ESN Karlsruhe
Ja,Ja,Ja,Ja,Ja,ESN Hildesheim
Ja,Ja,Ja,Ja,Ja,ESN Dortmund
Ja,Ja,Ja,Ja,Ja,ESN Düsseldorf
Ja,Ja,Ja,Ja,Ja,ESN LEI STEP Kaiserslautern
Ja,Ja,Ja,Ja,Ja,ESN Saarbrücken
Ja,Ja,Ja,Ja,Ja,ESN Halle (Saale)
