Genehmigt ihr das Protokoll der oN Air im Juni 2020?,Stimmt ihr der Agenda dieser Mitgliederversammlung zu?,Wählt ihr Milan Grigull (NB) als Ombudsperson für diese Mitgliederversammlung?,Wählt ihr Jana Borchardt (NB) als Ombudsperson für diese Mitgliederversammlung?,Stimmt ihr der Verschiebung der Kassenprüfung auf die kommende Mitgliederversammlung zu?,attribute_1
Ja,Ja,Ja,Ja,Ja,ESN Witten/Herdecke
Ja,Ja,Ja,Ja,Ja,ESN Bonn 
Ja,Ja,Ja,Ja,Enthaltung,ESN Halle (Saale)
Ja,Ja,Ja,Ja,Ja,ESN TU Dresden 
Ja,Ja,Ja,Ja,Ja,ESN Hildesheim
Ja,Ja,Ja,Ja,Ja,ESN Darmstadt
Ja,Ja,Ja,Ja,Ja,ESN Bochum
Ja,Ja,Ja,Ja,Ja,ESN Saarbrücken
Ja,Ja,Ja,Ja,Enthaltung,ESN Düsseldorf
Ja,Ja,Ja,Ja,Ja,ESN Jena
Ja,Ja,Ja,Ja,Ja,ESN Frankfurt am Main
Ja,Ja,Ja,Ja,Ja,ESN Freiburg
Ja,Ja,Ja,Ja,Ja,ESN Braunschweig
Ja,Ja,Ja,Ja,Ja,ESN MESA München
Ja,Ja,Ja,Ja,Ja,ESN Augsburg
Ja,Ja,Ja,Ja,Ja,ESN LEI Greifswald
Ja,Ja,Ja,Ja,Ja,ESN Heidelberg
Ja,Ja,Ja,Ja,Ja,ESN Göttingen
Ja,Ja,Ja,Ja,Ja,ESN Kiel
Ja,Ja,Ja,Ja,Ja,ESN IPAS Landau
Ja,Ja,Ja,Ja,Ja,ESN Hamburg
Ja,Ja,Ja,Ja,Ja,ESN Siegen
Ja,Ja,Ja,Ja,Ja,ESN Köln
Ja,Ja,Ja,Ja,Ja,ESN Karlsruhe
Ja,Ja,Ja,Ja,Nein,ESN LEI STEP Kaiserslautern
Ja,Ja,Ja,Ja,Enthaltung,ESN Dortmund
