Wählt ihr Inès Leimgruber (ESN Bonn) als Ombudsperson für diese Mitgliederversammlung?,attribute_1
Ja,ESN Siegen
Ja,ESN TU Dresden 
Ja,ESN Halle (Saale)
Ja,ESN Augsburg
Ja,ESN Darmstadt
Ja,ESN Saarbrücken
Ja,ESN Bonn 
Ja,ESN Düsseldorf
Ja,ESN Jena
Ja,ESN LEI Greifswald
Ja,ESN Bochum
Ja,ESN Freiburg
Ja,ESN Frankfurt am Main
Ja,ESN Heidelberg
Ja,ESN LEI STEP Kaiserslautern
Ja,ESN Witten/Herdecke
Ja,ESN Köln
Ja,ESN Göttingen
Ja,ESN Karlsruhe
Ja,ESN Braunschweig
Ja,ESN IPAS Landau
Ja,ESN Hildesheim
Ja,ESN MESA München
Ja,ESN Dortmund
Ja,ESN Kiel
Ja,ESN Hamburg
