"Stimmt ihr dem Antrag 'Spots für Regional Coordinator bei NAs' zu?","Stimmt ihr dem Antrag zu, das AGM aus dem EPP zu streichen?","Stimmt ihr zu 'LEI Konstanz' als neues Mitglied des ESN Deutschland e.V. zum Ende dieser Mitgliederversammlung mit aufzunehmen und sie zur Südwestregion hinzuzufügen?",attribute_1
Ja,Ja,Ja,ESN Düsseldorf
Ja,Ja,Ja,ESN LEI Greifswald
Ja,Ja,Ja,ESN Bochum
Ja,Enthaltung,Ja,ESN Saarbrücken
Ja,Ja,Ja,ESN Halle (Saale)
Ja,Ja,Ja,ESN Braunschweig
Enthaltung,Enthaltung,Ja,ESN Erasmix Medizin Berlin
Ja,Ja,Ja,ESN Köln
Ja,Ja,Ja,ESN AKI Deggendorf
Ja,Ja,Ja,ESN TU Dresden 
Ja,Ja,Ja,ESN Bonn 
Enthaltung,Ja,Ja,ESN Freiburg
Ja,Ja,Ja,ESN Darmstadt
Ja,Ja,Ja,ESN Ingolstadt
Ja,Ja,Ja,ESN MESA München
Ja,Ja,Ja,ESN Göttingen
Ja,Nein,Ja,ESN Witten/Herdecke
Nein,Ja,Ja,ESN Hildesheim
Ja,Ja,Ja,ESN Heidelberg
Ja,Ja,Ja,ESN Jena
Enthaltung,Ja,Ja,ESN Dortmund
Ja,Ja,Ja,ESN Siegen
Ja,Ja,Ja,ESN Augsburg
Ja,Ja,Ja,ESN Kiel
Ja,Ja,Ja,ESN Hamburg
Ja,Ja,Ja,ESN LEI STEP Kaiserslautern
