"Holt ihr euch die neuen mega irre geilen ESN Germany Badelatschen?","attribute_1"
"Enthaltung","ESN TUMi München "
"Nein, ich hab schon Crocs","ESN Düsseldorf"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN Jena"
"Nein, ich hab schon Crocs","ESN TU Dresden "
"Nein, ich hab schon Crocs","ESN Augsburg"
"Enthaltung","ESN Erasmix Medizin Berlin"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN Braunschweig"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN Ingolstadt"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN Hamburg"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN VISUM Mannheim"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN Freiburg"
"Nein, ich hab schon Crocs","ESN Göttingen"
"Nein, ich hab schon Crocs","ESN Siegen"
"Enthaltung","ESN Bochum"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN Bonn "
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN Halle (Saale)"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN IPAS Landau"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN LEI STEP Kaiserslautern"
"Nein, ich hab schon Crocs","ESN Heidelberg"
"Enthaltung","ESN Karlsruhe"
"Enthaltung","ESN Stuttgart"
"Nein, ich hab schon Crocs","ESN LEI Greifswald"
"Enthaltung","ESN Frankfurt (Oder)"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN Hildesheim"
"Enthaltung","ESN Potsdam"
"Nein, ich hab schon Crocs","ESN Kiel"
"Enthaltung","ESN Dortmund"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN MESA München"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN LEI Rostock"
"Ja, um sie mit meinen hohen weißen Socken zu kombinieren!","ESN Darmstadt"
"Enthaltung","ESN Köln"
"Enthaltung","ESN Bayreuth"

