"Wollt ihr das Vortragen des Statements, wie es in der E-Mail von ESN Frankfurt/Oder eingefordert wurde, und eine Fragerunde auf die Agenda setzen?","attribute_1"
"Nein","ESN Bochum"
"Ja","ESN Frankfurt (Oder)"
"Ja","ESN Braunschweig"
"Ja","ESN IPAS Landau"
"Ja","ESN Karlsruhe"
"Ja","ESN TUMi München "
"Ja","ESN Potsdam"
"Ja","ESN Hildesheim"
"Ja","ESN Heidelberg"
"Nein","ESN Freiburg"
"Ja","ESN Siegen"
"Enthaltung","ESN Erasmix Medizin Berlin"
"Ja","ESN Hamburg"
"Ja","ESN Jena"
"Ja","ESN Düsseldorf"
"Ja","ESN LEI STEP Kaiserslautern"
"Ja","ESN Kiel"
"Ja","ESN Stuttgart"
"Ja","ESN Göttingen"
"Ja","ESN Halle (Saale)"
"Ja","ESN LEI Greifswald"
"Ja","ESN Augsburg"
"Ja","ESN Bonn "
"Ja","ESN TU Dresden "
"Ja","ESN MESA München"
"Ja","ESN Ingolstadt"
"Enthaltung","ESN VISUM Mannheim"
"Nein","ESN Dortmund"
"Enthaltung","ESN LEI Rostock"
"Ja","ESN Köln"
"Ja","ESN Bayreuth"
"Ja","ESN Darmstadt"

