"Stimmt ihr dem Antrag “Budget” bzgl. der Orientierung am Geschäftsjahr zu?","Stimmt ihr dem Antrag “Sektionsberatung” zu?","Stimmt ihr dem Antrag bzgl. eines Minimums von zwei Mitgliederversammlungen pro Jahr zu?","Stimmt ihr zu Gemini e.V. (Pforzheim) als neue Kandidatensektion des ESN Deutschland e.V. aufzunehmen?","Stimmt ihr zu Lokale Erasmus Initiative Konstanz als neue Kandidatensektion des ESN Deutschland e.V. aufzunehmen?","Stimmt ihr zu International Student Association Saarbrücken als neues Mitglied des ESN Deutschland e.V. zum Ende dieser Mitgliederversammlung mit aufzunehmen und sie zur Südwestregion hinzuzufügen?","attribute_1"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Braunschweig"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Bochum"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Frankfurt (Oder)"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Bonn "
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Siegen"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN IPAS Landau"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Düsseldorf"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Erasmix Medizin Berlin"
"Enthaltung","Ja","Nein","Ja","Enthaltung","Ja","ESN MESA München"
"Enthaltung","Ja","Ja","Ja","Ja","Ja","ESN Augsburg"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Ingolstadt"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Freiburg"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Jena"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN LEI Greifswald"
"Ja","Ja","Enthaltung","Ja","Ja","Ja","ESN LEI Rostock"
"Enthaltung","Ja","Ja","Ja","Ja","Ja","ESN TUMi München "
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Köln"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Heidelberg"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Darmstadt"
"Nein","Ja","Ja","Ja","Ja","Ja","ESN Göttingen"
"Enthaltung","Ja","Ja","Ja","Ja","Ja","ESN TU Dresden "
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Hamburg"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Potsdam"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN LEI STEP Kaiserslautern"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Halle (Saale)"
"Ja","Ja","Ja","Nein","Ja","Ja","ESN Karlsruhe"
"Enthaltung","Ja","Ja","Ja","Ja","Ja","ESN Hildesheim"
"Ja","Ja","Ja","Enthaltung","Enthaltung","Enthaltung","ESN VISUM Mannheim"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Kiel"
"Ja","Ja","Ja","Nein","Ja","Ja","ESN Stuttgart"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Dortmund"
"Ja","Ja","Ja","Ja","Ja","Ja","ESN Bayreuth"

