Stimmt ihr dafür Milan Grigull von seinen Tätigkeiten als Event Manager während des NB Mandats 2019/20 zu entlasten?,Stimmt ihr dafür Pedro González von seinen Tätigkeiten als Stellvertretender Nationaler Repräsentant während des NB Mandats 2019/20 zu entlasten?,Stimmt ihr dafür Julia Bauer von ihren Tätigkeiten als Education Officer während des NB Mandats 2019/20 zu entlasten?,Stimmt ihr dafür Michel Böhm von seinen Tätigkeiten als Webmaster während des NB Mandats 2019/20 zu entlasten?,Stimmt ihr dafür Hannah Potthoff von ihren Tätigkeiten als Partnership-Managerin während des NB Mandats 2019/20 zu entlasten?,Stimmt ihr dafür Laura Hoffmann von ihren Tätigkeiten als PR-Managerin während des NB Mandats 2019/20 zu entlasten?,Stimmt ihr dafür Jana Borchardt von ihren Tätigkeiten als Nationale Repräsentantin während des NB Mandats 2019/20 zu entlasten?,Stimmt ihr dafür Luís Henriques von seinen Tätigkeiten als Finanzvorstand während des NB Mandats 2019/20 bis einschließlich September 2019 zu entlasten?,Stimmt ihr dafür Bianca Keiper von ihren Tätigkeiten als Vizepräsidentin während des NB Mandats 2019/20 zu entlasten?,Stimmt ihr dafür Olivia Parczyk von ihren Tätigkeiten als Präsidentin während des NB Mandats 2019/20 zu entlasten?,Wählt ihr Julius Netzer (ESN Heidelberg) als Rechtsauditor für das Mandat 2020/21?,Wählt ihr Ivo Sieder (ESN LEI Greifswald) als Rechtsauditor für das Mandat 2020/21?,Wählt ihr Alina Dallmann (ESN Darmstadt) als Finanzauditorin für das Mandat 2020/21?,Wählt ihr Patrick Peeck (ESN Darmstadt) als Verwaltungsratsvorsitzenden für das Mandat 2020/21?,section
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Nein,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Nein,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Enthaltung,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Nein,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Vote
Ja,Ja,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Ja,Ja,Ja,Vote
