"Wollt ihr, dass die Rednerliste für die Q&A zu dem Statement des Vorstands geschlossen wird?","attribute_1"
"Ja","ESN Augsburg"
"Ja","ESN Bochum"
"Ja","ESN Heidelberg"
"Ja","ESN Karlsruhe"
"Ja","ESN Dortmund"
"Nein","ESN Frankfurt (Oder)"
"Ja","ESN Erasmix Medizin Berlin"
"Nein","ESN Braunschweig"
"Ja","ESN LEI Rostock"
"Enthaltung","ESN Hildesheim"
"Ja","ESN Köln"
"Nein","ESN Potsdam"
"Ja","ESN Göttingen"
"Ja","ESN Stuttgart"
"Enthaltung","ESN Siegen"
"Ja","ESN Freiburg"
"Nein","ESN Jena"
"Ja","ESN Ingolstadt"
"Ja","ESN TU Dresden "
"Nein","ESN Hamburg"
"Ja","ESN IPAS Landau"
"Nein","ESN TUMi München "
"Enthaltung","ESN Kiel"
"Ja","ESN LEI STEP Kaiserslautern"
"Enthaltung","ESN Bayreuth"
"Nein","ESN Darmstadt"
"Enthaltung","ESN LEI Greifswald"
"Enthaltung","ESN VISUM Mannheim"
"Enthaltung","ESN Halle (Saale)"

